gene,snp_count,ATP_gene
hypothetical protein,33,False
wzy,12,False
mfs transporter,9,False
fimbrial protein,9,False
deob,9,False
viob,7,False
rfbb,7,False
wcaj,6,False
rfba,6,False
rfbc,6,False
rfbd,6,False
vioa,6,False
wbbd,6,False
galf,6,False
wcak,6,False
wcal,6,False
wcam,6,False
abc transporter permease,6,False
wzxc,6,False
ggdef domain-containing protein,5,False
cyob,5,False
evgs,5,True
alpha-2-macroglobulin family protein,5,False
fimbrial biogenesis outer membrane usher protein,5,False
ag43,5,False
multidrug efflux rnd transporter permease subunit,5,False
recj,5,False
tsx,5,False
autotransporter outer membrane beta-barrel domain-containing protein,4,False
diguanylate cyclase,4,False
replication endonuclease,4,False
sdr family oxidoreductase,4,False
purl,4,True
rne,3,False
tkt,3,False
tonb-dependent receptor,3,False
yhdp,3,False
purm,3,True
fimbrial biogenesis usher protein,3,False
eal domain-containing protein,3,False
lysr family transcriptional regulator,3,False
prophage tail fiber n-terminal domain-containingprotein,3,False
fecb,3,False
zinc-binding dehydrogenase,3,False
mdtb,3,False
mltd,3,False
fumc,3,False
acef,3,False
eutg,3,False
ldtd,3,False
hsca,3,True
naga,3,False
pykf,3,True
htpg,3,False
kef family k(+) transporter,3,False
nuof,3,False
ydbh family protein,3,False
duf4049 domain-containing protein,3,False
tcyp,3,False
dnax,3,False
glpk,3,True
asps,3,True
purc,3,True
sbcc,3,False
protein serac1,3,False
tyrosine-type recombinase/integrase,3,False
rlpa,3,False
odhb,3,False
fepd,2,False
rimk,2,True
reco,2,False
clsc,2,False
speb,2,False
lysozyme inhibitor lpri family protein,2,False
rhs repeat-associated core domain-containing protein,2,False
prpc,2,False
pepa,2,False
prc,2,False
duf1116 domain-containing protein,2,False
acyltransferase,2,False
duf418 family protein,2,False
phage tail protein,2,False
acna,2,False
acyl coa:acetate/3-ketoacid coa transferase,2,False
yegi,2,False
yeej,2,False
pdef,2,False
parc,2,False
rlmi,2,False
rodz,2,False
hyfr,2,False
recc,2,False
csta,2,False
flha,2,False
yfal,2,False
recb,2,False
nuog,2,False
ycce family protein,2,False
molybdopterin-dependent oxidoreductase mo/fe-s-binding subunit,2,False
duf441 domain-containing protein,2,False
serine dehydratase subunit alpha family protein,2,False
nage,2,False
duf1998 domain-containing protein,2,False
ptsp,2,False
dnae,2,False
leus,2,True
wcac,2,False
recf,2,False
glgp,2,False
aldo/keto reductase family oxidoreductase,2,False
duf2625 domain-containing protein,2,False
cusa,2,False
carboxymuconolactone decarboxylase family protein,2,False
cmob,2,False
amph,2,False
integrase arm-type dna-binding domain-containingprotein,2,False
is3 family transposase,2,False
puta,2,False
lysc,2,True
malk,2,False
citc,2,True
mnmc,2,False
n-acetyltransferase,2,False
phoa,2,False
alsk,2,True
paob,2,False
sufd,2,False
dpib,2,True
cpdb,2,False
smdb family multidrug efflux abc transporter permease/atp-binding protein,2,False
dmt family transporter,2,False
deor,2,False
napa,2,False
fuci,2,False
phosphoethanolamine transferase,2,False
putative frv operon regulatory protein,2,False
emra,2,False
guac,2,False
dxs,2,False
phage baseplate assembly protein v,2,False
pflb,2,False
ding,2,False
gspe,2,False
nuon,2,False
ndh,2,False
psie,2,False
arna,2,False
eutr,2,False
flotillin family protein,2,False
frda,2,False
fsr,2,False
emta,2,False
duf2300 domain-containing protein,2,False
dld,2,False
gsic,2,False
entf,2,True
shet2/espl2 family type iii secretion system effector toxin,2,False
paod,2,False
pbga,2,False
ptra,2,False
phage portal protein,2,False
infb,2,False
argh,2,False
astd,2,False
nicotinamide mononucleotide deamidase-related protein yfay,2,False
polb,2,False
atp-dependent helicase,2,False
blaec,2,False
ygfz,2,False
ftsk,2,False
phnk,2,False
thrs,2,True
ribf,2,True
phage tail sheath protein,2,False
lamb,2,False
eutl,2,False
mutl,2,False
yebt,2,False
rsxd,2,False
pdxj,2,False
nnr,2,False
fusc family protein,2,False
hyae,2,False
bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase,2,False
glutathione-dependent formaldehyde dehydrogenase,2,False
wgr and duf4132 domain-containing protein,2,False
isph,2,False
porin,2,False
spea,2,False
prepilin peptidase-dependent protein,2,False
ppsa,2,True
sufs,2,False
murp,2,False
otsa,2,False
mhpr,2,False
amino acid permease,2,False
ychh,2,False
rnb,2,False
mcrb,2,False
lacz,2,False
appa,2,False
abc transporter substrate-binding protein,2,False
mrda,2,False
acrd,2,False
anmk,2,True
potf,2,False
sulfatase-like hydrolase/transferase,2,False
ldha,2,False
bifunctional alpha/beta hydrolase/class i sam-dependent methyltransferase,2,False
hlyc/corc family transporter,2,False
msck,2,False
nad(p)-dependent oxidoreductase,2,False
ppid,1,False
ydil family protein,1,False
prob,1,True
4fe-4s binding protein,1,False
tetratricopeptide repeat-containing protein,1,False
pppa,1,False
fusa,1,False
aas,1,False
glne,1,True
phage late control d family protein,1,False
rpon,1,False
gltb,1,False
hpad,1,False
aldehyde ferredoxin oxidoreductase,1,False
bola,1,False
mlaa,1,False
cpsg,1,False
mlaf,1,False
cpsb,1,False
mpl,1,True
msra,1,False
comec family protein,1,False
coda,1,False
clsb,1,False
citg,1,True
osme,1,False
citf,1,False
osmf,1,False
pane,1,False
pgpa,1,False
bglj,1,False
baseplate assembly protein,1,False
aspartate:alanine antiporter,1,False
apbe,1,False
anion transporter,1,False
anion permease,1,False
gspd,1,False
amtb,1,False
alls,1,False
pdeb,1,False
allr,1,False
alle,1,False
alkb,1,False
pepp,1,False
fre,1,False
mdth,1,False
modc,1,False
tonb-dependent receptor plug domain-containing protein,1,False
tyna,1,False
macb,1,False
hisa,1,False
maca,1,False
lyss,1,True
lpxk,1,True
hisp,1,False
ispe,1,True
ion channel protein,1,False
upf0104 family protein,1,False
hcxa,1,False
gsid,1,False
flge,1,False
uraa,1,False
duf4132 domain-containing protein,1,False
isovaleryl-coa dehydrogenase,1,False
hprs,1,True
cmoa,1,False
class i sam-dependent methyltransferase,1,False
btue,1,False
blc,1,False
add,1,False
wgr domain-containing protein,1,False
hpab,1,False
xtha,1,False
yajq,1,False
ygey family selenium metabolism-linked hydrolase,1,False
abrb family transcriptional regulator,1,False
maop,1,False
katg,1,False
gtp pyrophosphokinase,1,False
thim,1,True
hypf,1,True
glycine zipper 2tm domain-containing protein,1,False
gcl,1,False
pseudouridine kinase,1,False
rida family protein,1,False
rpsd,1,False
hpar,1,False
flda,1,False
rutr,1,False
serc,1,False
flavin reductase family protein,1,False
sgrr,1,False
apt,1,False
yhev family putative metal-binding protein,1,False
tolq,1,False
sh3 domain-containing protein,1,False
thil,1,True
tetr family transcriptional regulator,1,False
spee,1,False
sodb,1,False
setb,1,False
sbcb,1,False
sufb,1,False
kdgr,1,False
rusa family crossover junction endodeoxyribonuclease,1,False
taua,1,False
hcar,1,False
plsx,1,False
pabb,1,False
leua,1,False
mdtf,1,False
cuer,1,False
feca,1,False
biop,1,False
chac,1,False
cysj,1,False
daca,1,False
degq,1,False
dkga,1,False
dppa,1,False
dsbd,1,False
dtpc,1,False
fggy-family carbohydrate kinase,1,False
arof,1,False
flgi,1,False
gard,1,False
ghxq,1,False
gltp,1,False
gpr,1,False
gspk,1,False
hemw,1,False
hold,1,False
hupa,1,False
bifunctional 3-demethylubiquinone 3-o-methyltransferase/2-octaprenyl-6-hydroxy phenol methylase,1,False
arac family transcriptional regulator,1,False
dacd,1,False
ybii,1,False
usha,1,False
uvrb,1,False
virk/ybjx family protein,1,False
wcae,1,False
wza,1,False
yahk,1,False
ybak,1,False
ybgs-like family protein,1,False
ybib,1,False
yccx,1,False
ampg,1,False
ycdy,1,False
ycei family protein,1,False
yche,1,False
ydep,1,False
yejf,1,False
yfap family protein,1,False
yjej family protein,1,False
zinc ribbon-containing protein,1,False
9-o-acetyl-n-acetylneuraminic acid deacetylase,1,False
hyca,1,False
hyfb,1,False
insulinase family protein,1,False
ybdd/yjix family protein,1,False
thib,1,False
thip,1,False
thymidylate kinase,1,False
tigr01777 family oxidoreductase,1,False
torz,1,False
trmj,1,False
tsr,1,False
type iv pilus twitching motility protein pilt,1,False
ubih,1,False
yejo,1,False
ipra,1,False
ygiw,1,False
ygjg,1,False
ygjk,1,False
yhch/yjgk/yial family protein,1,False
yrbl,1,False
qsec,1,True
nadr,1,True
purd,1,True
argp,1,False
srld,1,False
sel1-like repeat protein,1,False
seca,1,False
scpa,1,False
kdpa,1,False
lgt,1,False
lptd,1,False
lspa,1,False
lyxk,1,True
maeb,1,False
malt,1,False
mdoh,1,False
nike,1,False
otsb,1,False
pdxb,1,False
plp-dependent aminotransferase family protein,1,False
pnp,1,False
prfa,1,False
prop,1,False
pta,1,False
recq,1,False
rsga,1,False
rsxg,1,False
trpcf,1,False
tqsa,1,False
torc,1,False
hisq,1,False
gadx,1,False
galt,1,False
gfo/idh/moca family oxidoreductase,1,False
glxk,1,True
gntp family transporter,1,False
gntr family transcriptional regulator,1,False
gpma,1,False
guad,1,False
hcp,1,False
hoke,1,False
meti,1,False
hyfa,1,False
iap,1,False
kgtp,1,False
lepa,1,False
lgod,1,False
lysb family phage lysis regulatory protein,1,False
malz,1,False
mannitol dehydrogenase family protein,1,False
matp,1,False
frma,1,False
fola,1,False
flgj,1,False
fkpb,1,False
dinb,1,False
dmpg,1,False
dmsb,1,False
dmsc,1,False
duf1456 family protein,1,False
duf2754 domain-containing protein,1,False
duf2773 domain-containing protein,1,False
duf2799 domain-containing protein,1,False
electron transfer flavoprotein subunit alpha/fixb family protein,1,False
elyc,1,False
emrb,1,False
endonuclease/exonuclease/phosphatase family protein,1,False
entb,1,True
exox,1,False
fad-binding protein,1,False
fcl,1,False
fepa,1,False
fhub,1,False
fimh,1,False
frlb,1,False
metn,1,False
tolc,1,False
rrrd,1,False
prpd,1,False
pts sugar transporter subunit iia,1,False
purk,1,True
putative acyl-coa thioester hydrolase,1,False
pyrh,1,True
rayt,1,False
rhomboid family intramembrane serine protease,1,False
rpe,1,False
rpsj,1,False
rspa,1,False
miab,1,False
rsxc,1,False
rzod,1,False
site-specific integrase,1,False
smda family multidrug abc transporter permease/atp-binding protein,1,False
sppa,1,False
ssle,1,False
tag,1,False
terminase atpase subunit family protein,1,False
tolb,1,False
pqib,1,False
pote,1,False
phoh family protein,1,False
phnm,1,False
minc,1,False
mnts,1,False
moae,1,False
modb,1,False
modf,1,False
moea,1,False
molecular chaperone,1,False
nade,1,True
nagc,1,False
nagd,1,False
nank,1,True
neutral zinc metallopeptidase,1,False
nitrate reductase subunit alpha,1,False
opge,1,False
paoc,1,False
pcnb,1,False
pepn,1,False
phage holin family protein,1,False
phage major tail tube protein,1,False
frld,1,True
cyaa,1,True
folp,1,False
srmb,1,False
mscm,1,False
nudf,1,False
lysp,1,False
mipa,1,False
tgt,1,False
pts fructose-like transporter subunit iib,1,False
rhodanese-related sulfurtransferase,1,False
purh,1,False
asns,1,False
melb,1,False
recr,1,False
tora,1,False
srle,1,False
dinf,1,False
mure,1,True
nlpe,1,False
nrff,1,False
tyrs,1,True
nuoc,1,False
dcd,1,False
hyfh,1,False
deoc,1,False
dmlr,1,False
isas1 family transposase,1,False
sapa,1,False
yfhm,1,False
icd,1,False
mglc,1,False
opgb,1,False
puru,1,False
phoq,1,True
phet,1,True
secy,1,False
ldcc,1,False
dedd,1,False
copd,1,False
dapd,1,False
qseb,1,False
rcsc,1,True
ecpd,1,False
yghd,1,False
yjem,1,False
folm,1,False
ef2563 family selenium-dependent molybdenum hydroxylase system protein,1,False
dape,1,False
dcp,1,False
ddla,1,True
duf2500 domain-containing protein,1,False
duf2502 domain-containing protein,1,False
duf2773 domain-containing bactofilin,1,False
duf853 domain-containing protein,1,False
ebga,1,False
epmb,1,False
csda,1,False
epta,1,False
era,1,False
eutb,1,False
euts,1,False
exut,1,False
fad-binding oxidoreductase,1,False
fdng,1,False
feab,1,False
cytochrome o ubiquinol oxidase subunit iii,1,False
crl,1,False
ecpe,1,False
ahr,1,False
nrfa,1,False
yeee,1,False
menc,1,False
yqia,1,False
3-phenylpropionate mfs transporter,1,False
acea,1,False
acetyl-coa c-acetyltransferase,1,False
agar,1,False
aldose 1-epimerase,1,False
caia,1,False
alld,1,False
alsa,1,False
aminopeptidase,1,False
antibiotic biosynthesis monooxygenase,1,False
aspartate-semialdehyde dehydrogenase,1,False
bamb,1,False
bamc,1,False
bett,1,False
oppa,1,False
carb,1,True
n-acetylmannosamine-6-phosphate 2-epimerase,1,False
prpb,1,False
cait,1,False
bepa,1,False
ftsp,1,False
deor/glpr transcriptional regulator,1,False
nupc/nupg family nucleoside cnt transporter,1,False
glta,1,False
meth,1,False
holc,1,False
ychf,1,True
yiiq family protein,1,False
nth,1,False
rect,1,False
ppib,1,False
trxc,1,False
ankyrin repeat domain-containing protein,1,False
abc-f family atpase,1,False
pdxk,1,True
hcab,1,False
duf1479 domain-containing protein,1,False
ecpb,1,False
is1 family transposase,1,False
held,1,False
type vi secretion system tip protein vgrg,1,False
yeag,1,True
is3-like element isecb1 family transposase,1,False
dcrb,1,False
phosphoethanolamine transferase cpta,1,False
cynt,1,False
duf2544 domain-containing protein,1,False
bcsq,1,False
pola,1,False
glycosyltransferase family 9 protein,1,False
glutamate decarboxylase,1,False
baca,1,False
nika,1,False
clcb,1,False
tdcc,1,False
prov,1,False
cysp,1,False
lpxc,1,False
patatin family protein,1,False
pgac,1,False
protein phosphatase 2c domain-containing protein,1,False
ftr1 family protein,1,False
ilvn,1,False
type b 50s ribosomal protein l31,1,False
zape,1,False
ybha,1,False
feci,1,False
trkg,1,False
duf2755 family protein,1,False
ycbx,1,False
hlde,1,True
lipocalin family protein,1,False
fad-dependent oxidoreductase,1,False
ribd,1,False
yjdn,1,False
cysw,1,False
epd,1,False
phor,1,True
restriction endonuclease subunit s,1,False
atos,1,True
lola,1,False
pept,1,False
mrcb,1,False
garp,1,False
mukb,1,False
seta,1,False
ansp,1,False
slty,1,False
hipa,1,False
pgmb,1,False
garl,1,False
yijd family membrane protein,1,False
dnac,1,False
phnj,1,False
naph,1,False
dimethyl sulfoxide reductase subunit a,1,False
adra,1,False
chez,1,False
wzzb,1,False
btud,1,False
arsb,1,False
fepc,1,False
fldb,1,False
ftse,1,False
3-(3-hydroxy-phenyl)propionate transporter,1,False
pyrd,1,False
rfah,1,False
rhlb,1,False
tnab,1,False
trpb,1,False
prepilin-type n-terminal cleavage/methylation domain-containing protein,1,False
ybgi,1,False
yjcs,1,False
aded,1,False
ompg,1,False
apbc,1,False
bcr/cfla family multidrug efflux mfs transporter,1,False
cusr,1,False
dhal,1,False
dusc,1,False
fad-nad(p)-binding protein,1,False
fimbria/pilus periplasmic chaperone,1,False
glycoside hydrolase family 10 protein,1,False
poxb,1,False
mrdb,1,False
wcab,1,False
dnak,1,False
yfcz/yiis family protein,1,False
yfdv,1,False
ygah,1,False
arca,1,False
bestrophin family protein,1,False
biof,1,False
citx,1,False
csir,1,False
fadj,1,False
moba,1,False
feob,1,False
flga,1,False
hofq,1,False
hyaa,1,False
kdsb,1,False
lapb,1,False
lhgo,1,False
lptf,1,False
idnd,1,False
iscr,1,False
ketose-bisphosphate aldolase,1,False
dmsd,1,False
amino acid abc transporter substrate-binding protein,1,False
arfb,1,False
bama,1,False
bara,1,True
capsule biosynthesis gfcc family protein,1,False
citt,1,False
dcua,1,False
deaminated glutathione amidase,1,False
dosp,1,False
lbetah domain-containing protein,1,False
dpal,1,False
duf1449 family protein,1,False
duf898 domain-containing protein,1,False
enoyl-coa hydratase/isomerase family protein,1,False
fdec,1,False
fimc,1,False
fnr,1,False
folc,1,True
alr,1,False
ail/lom family outer membrane beta-barrel protein,1,False
aes,1,False
adia,1,False
ldte,1,False
lpxp,1,False
malq,1,False
melr,1,False
narw,1,False
pncb,1,True
ppx,1,False
puup,1,False
sula,1,False
trmd,1,False
yebc/pmpr family dna-binding transcriptional regulator,1,False
yeca,1,False
ymdb,1,False
2-hydroxyacyl-coa dehydratase subunit d,1,False
4fe-4s dicluster domain-containing protein,1,False
abc transporter atp-binding protein/permease,1,False
adhe,1,False
ycho,1,False
vwa domain-containing protein,1,False
fuck,1,True
pfka,1,True
muth,1,False
muts,1,False
nadk,1,True
norr,1,False
nusa,1,False
ompt,1,False
parb/repb/spo0j family partition protein,1,False
pdxa,1,False
plda,1,False
mdta,1,False
pmba,1,False
prox,1,False
pts system eiic permease component,1,False
purr,1,False
reca,1,False
rhodanese-like domain-containing protein,1,False
rplc,1,False
rpob,1,False
mdtn,1,False
male,1,False
udk,1,True
hemx,1,False
fuco,1,False
glrr,1,False
glucarate dehydratase-related protein,1,False
glycoside hydrolase family 25 protein,1,False
gntp,1,False
gspj,1,False
gspo,1,False
gudp,1,False
hsdm,1,False
maea,1,False
hupb,1,False
hydrolase,1,False
hyfc,1,False
hyfg,1,False
kbaz,1,False
kbp,1,False
laci family dna-binding transcriptional regulator,1,False
lexa,1,False
skp,1,False
slyb,1,False
spec,1,False
malx,1,False
dhar,1,False
fabd,1,False
fhue,1,False
flhb,1,False
glpa,1,False
glsa,1,False
hype,1,True
lacy,1,False
napf,1,False
sure,1,False
pagp,1,False
panb,1,False
pepb,1,False
rbn,1,False
ssea,1,False
tam,1,False
thii,1,False
type 1 fimbrial protein,1,False
csid,1,False
chaa,1,False
ccmc,1,False
araf,1,False
taub,1,False
thih,1,False
threonine/serine exporter,1,False
tyra,1,False
uracil/xanthine transporter,1,False
uvra,1,False
uxab,1,False
vals,1,True
wzc,1,True
ydiy family protein,1,False
ydjg,1,False
yeae,1,False
yfhl,1,False
yggf,1,False
yqhc,1,False
4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase,1,False
adenine methyltransferase,1,False
yaep family protein,1,False
